## xgal,ygal,zgal,mgal,rhgas,rhstar,R200,M200,RTopHat,MTopHat 
51.761074,19.544125,10.950128,1153268480.000000,0.000000,2.777486,588.893433,21811288866816.000000,784.698730,26342829588480.000000 
47.774525,80.375679,10.677983,1118393856.000000,0.000000,1.316276,452.797821,9913640157184.000000,650.640259,15014973931520.000000 
68.427132,4.085424,11.084599,3403732992.000000,0.511467,0.893040,272.434906,2159446458368.000000,363.868835,2626386395136.000000 
73.287704,61.329433,11.063806,1215708032.000000,2.481121,2.101966,258.789703,1850952908800.000000,345.218811,2242815721472.000000 
31.434372,10.753575,11.745333,17444820992.000000,8.707811,2.384755,627.070190,26331972632576.000000,819.206055,29971839975424.000000 
31.330206,10.668080,11.824526,4077042688.000000,1.370139,3.744297,627.070190,26331972632576.000000,819.206055,29971839975424.000000 
51.624489,21.069387,11.099807,1003217984.000000,0.000000,2.972827,588.893433,21811288866816.000000,784.698730,26342829588480.000000 
49.885269,87.095413,12.178175,3365388800.000000,0.000000,3.031430,599.594971,23020051628032.000000,796.855347,27582909120512.000000 
47.945618,80.104691,10.520938,5226451968.000000,0.000000,2.919926,452.797821,9913640157184.000000,650.640259,15014973931520.000000 
65.783302,67.535301,14.978522,5388412928.000000,0.867589,4.072433,557.950317,18548489453568.000000,755.100586,23470173847552.000000 
89.888397,58.593979,11.122125,21222846464.000000,2.174349,3.528455,467.331390,10899648675840.000000,632.729736,13808829464576.000000 
70.027435,11.780214,12.670903,3847042560.000000,1.190806,3.280684,389.293793,6300541911040.000000,527.053894,7981204242432.000000 
47.653053,89.236443,10.611133,18201487360.000000,7.300273,4.430634,376.082916,5680522592256.000000,508.529419,7168883425280.000000 
52.082169,11.461695,14.662331,5373709824.000000,1.833014,2.360688,326.650726,3722156179456.000000,492.399292,6508432064512.000000 
14.225720,7.929324,13.926111,8508443648.000000,0.000000,3.029615,348.094025,4504247861248.000000,472.014709,5732630528000.000000 
74.162170,14.787175,13.033011,5206071296.000000,8.044424,2.249804,356.180634,4825688309760.000000,480.140015,6034229297152.000000 
32.787895,66.521843,14.706969,7936435200.000000,9.123788,4.424791,334.475555,3996080406528.000000,442.601685,4726636150784.000000 
54.626904,26.102396,13.276692,6964528640.000000,5.182117,2.970935,296.879761,2794118971392.000000,394.311066,3342057603072.000000 
90.304359,4.760595,12.413485,2426821888.000000,4.209306,3.565371,280.130951,2347537268736.000000,373.431580,2839079026688.000000 
73.341293,61.371559,11.050280,2671920128.000000,5.962615,2.731701,258.789703,1850952908800.000000,345.218811,2242815721472.000000 
69.832191,39.557667,13.537386,1724565504.000000,71.225922,2.800814,122.013000,193958477824.000000,159.805206,222466719744.000000 
35.827358,64.085556,11.706972,1591519744.000000,68.508919,2.678844,119.640228,182857498624.000000,156.345337,208318562304.000000 
28.903641,72.781639,12.300878,1076928000.000000,78.826607,2.705850,119.867332,183931453440.000000,158.237778,215996907520.000000 
51.337387,20.909515,10.985588,23738687488.000000,77.140915,3.806992,588.893433,21811288866816.000000,784.698730,26342829588480.000000 
47.868420,79.246521,10.147008,17500866560.000000,14.847614,4.420389,452.797821,9913640157184.000000,650.640259,15014973931520.000000 
93.179863,41.811890,14.903145,2737678336.000000,16.645796,4.226775,115.989342,166652542976.000000,151.648880,190143954944.000000 
76.638000,60.363354,12.687704,1332572160.000000,14.311502,2.852136,119.746117,183356915712.000000,155.462357,204851855360.000000 
50.750729,87.355042,14.532255,1307571584.000000,45.232124,3.056428,117.653221,173933461504.000000,154.508301,201098100736.000000 
15.233016,7.535097,14.430013,2223620352.000000,19.187206,3.953659,114.152763,158865080320.000000,148.102341,177094459392.000000 
28.173323,66.959816,13.005904,1642466176.000000,36.621788,2.872298,114.355988,159701073920.000000,149.361267,181644460032.000000 
87.254028,3.283912,13.780083,1287253632.000000,54.256191,3.132142,108.014565,134566436864.000000,143.387634,160714326016.000000 
70.836723,56.241802,12.940798,1698488192.000000,51.807228,3.082179,110.862061,145526603776.000000,144.092834,163100819456.000000 
89.480644,59.203716,11.389161,20199129088.000000,87.085548,2.284579,467.331390,10899648675840.000000,632.729736,13808829464576.000000 
49.289261,15.351636,10.584477,30233948160.000000,3.706905,3.300608,452.084137,9867235426304.000000,635.008972,13959893614592.000000 
80.781242,97.340446,14.925309,1645069824.000000,7.698496,2.546731,463.108612,10606722678784.000000,612.988953,12556585402368.000000 
23.996933,68.333168,10.520523,99932078080.000000,264.685913,6.875046,409.996185,7360510164992.000000,554.705505,9304240291840.000000 
38.741978,70.650375,12.470362,46337093632.000000,99.167984,5.002354,357.350037,4872941338624.000000,474.954803,5841197465600.000000 
47.767441,89.183624,10.558577,108445253632.000000,241.257935,5.944232,376.082916,5680522592256.000000,508.529419,7168883425280.000000 
70.559135,92.810921,13.197504,83498541056.000000,233.373398,5.579432,351.083954,4621429374976.000000,478.878387,5986695774208.000000 
85.664261,69.319344,10.771977,83253592064.000000,196.517349,5.698585,326.085999,3702993977344.000000,430.613617,4352726532096.000000 
95.878571,46.960091,11.283680,68507238400.000000,227.946869,7.852650,299.580292,2871287873536.000000,402.741028,3561137111040.000000 
88.497162,5.366459,12.454413,25545113600.000000,142.448730,4.667605,262.068604,1922189885440.000000,342.415894,2188690063360.000000 
90.240921,4.702517,12.309311,35053604864.000000,149.625259,3.815976,280.130951,2347537268736.000000,373.431580,2839079026688.000000 
75.834373,42.127213,13.994272,57514762240.000000,183.565079,5.053583,260.616608,1890291941376.000000,354.410248,2426862305280.000000 
50.540253,57.933289,10.316801,47410135040.000000,187.654388,2.250388,283.290283,2427712176128.000000,372.356415,2814552834048.000000 
89.915154,58.568130,11.080508,99166511104.000000,132.370499,8.320251,467.331390,10899648675840.000000,632.729736,13808829464576.000000 
87.981781,19.855274,13.525738,18448723968.000000,159.733200,3.290187,252.389816,1716962590720.000000,338.855682,2121243033600.000000 
52.336384,22.180126,12.994226,43445342208.000000,144.496307,2.921754,264.778351,1982305140736.000000,344.640961,2231641833472.000000 
31.322605,10.502825,11.896138,252870295552.000000,280.647339,15.638782,627.070190,26331972632576.000000,819.206055,29971839975424.000000 
65.961693,67.991486,14.909767,107387011072.000000,304.408905,12.590856,557.950317,18548489453568.000000,755.100586,23470173847552.000000 
80.360970,97.635017,14.175802,4673079296.000000,2.017281,3.455716,463.108612,10606722678784.000000,612.988953,12556585402368.000000 
27.159889,67.547455,12.326994,3582354176.000000,0.449002,2.284600,403.444244,7012676534272.000000,550.971497,9118693720064.000000 
48.788593,10.124841,12.635451,11566979072.000000,116.478073,4.709963,218.024460,1106697388032.000000,305.763153,1558502178816.000000 
